Time,Etalon,Fcn1 (0.0054 -> 0.0081),Fcn1 (0.0054 -> 0.0102),Fcn17 (0.027 -> 0.0405),Fcn17 (0.027 -> 0.054),Fcn7 (0.025 -> 0.0375),Fcn7 (0.025 -> 0.05),Fcn9 (0.45 -> 0.625),Fcn9 (0.45 -> 0.90),Fcn11 (0.015 -> 0.0225),Fcn11 (0.015 -> 0.030),Fcn14 (0.306 -> 0.459),Fcn14 (0.306 -> 0.612)
0.624,54.40235067,54.57187361,54.68949275,54.40229015,54.40119684,57.89591681,61.60550241,58.46255974,49.3809285,52.7915924,51.09329363,37.7493986,34.90220955
0.626,54.28774641,54.45779299,54.57579872,54.28768881,54.28663453,57.76582196,61.45903905,58.47790703,49.53281586,52.68748164,51.00024663,37.57526819,34.6532241
0.628,54.17282531,54.3433849,54.46176958,54.17277048,54.17175385,57.63547887,61.31239684,58.4918885,49.68266248,52.58298569,50.90674236,37.40193923,34.40565017
0.63,54.05759415,54.22865622,54.3474123,54.05754196,54.05656165,57.50489401,61.16558208,58.50451708,49.830484,52.47811175,50.8127885,37.22940803,34.15948049
0.632,53.94205965,54.11361377,54.23273375,53.94200997,53.94106468,57.3740738,61.018601,58.51580562,49.97629593,52.372867,50.71839269,37.05767093,33.91470783
0.634,53.82622845,53.99826429,54.11774076,53.82618117,53.82526966,57.2430246,60.87145976,58.52576687,50.12011368,52.26725852,50.62356247,36.88672428,33.67132501
0.636,53.71010714,53.88261447,54.00244009,53.71006213,53.70918321,57.11175269,60.72416445,58.53441348,50.26195258,52.16129333,50.52830533,36.71656446,33.42932487
0.638,53.59370225,53.76667094,53.88683843,53.59365941,53.59281191,56.98026431,60.57672112,58.54175801,50.40182781,52.05497839,50.43262869,36.54718784,33.18870029
0.64,53.47702023,53.65044024,53.7709424,53.47697945,53.47616226,56.84856562,60.42913571,58.54781292,50.53975449,51.9483206,50.33653988,36.37859083,32.94944417
0.642,53.36006748,53.53392887,53.65475857,53.36002867,53.3592407,56.71666273,60.28141413,58.55259058,50.67574761,51.84132677,50.24004619,36.21076985,32.71154948
0.644,53.24285034,53.41714327,53.53829343,53.2428134,53.24205362,56.58456167,60.13356222,58.55610326,50.80982206,51.73400367,50.14315483,36.04372133,32.47500918
0.646,53.12537508,53.3000898,53.42155343,53.12533991,53.12460733,56.45226844,59.98558574,58.55836316,50.94199263,51.626358,50.04587293,35.87744174,32.2398163
0.648,53.00764791,53.18277478,53.30454493,53.00761444,53.00690807,56.31978896,59.83749041,58.55938235,51.07227402,51.51839638,49.94820758,35.71192752,32.00596389
0.65,52.88967499,53.06520443,53.18727426,52.88964313,52.88896205,56.18712908,59.68928188,58.55917284,51.20068081,51.41012538,49.85016577,35.54717517,31.77344504
